"Date","Price","Open","High","Low","Vol","Change"
"07/13/2023","2,004.70","1,871.66","2,010.65","1,863.17","548.72K","7.10%"
"07/12/2023","1,871.82","1,879.07","1,901.41","1,865.11","264.41K","-0.35%"
"07/11/2023","1,878.31","1,880.56","1,889.77","1,863.96","177.81K","-0.11%"
"07/10/2023","1,880.40","1,862.54","1,903.78","1,846.64","247.85K","0.94%"
"07/09/2023","1,862.90","1,865.75","1,878.20","1,856.96","135.02K","-0.13%"
"07/08/2023","1,865.25","1,870.65","1,873.14","1,843.78","125.82K","-0.30%"
"07/07/2023","1,870.92","1,845.37","1,877.50","1,827.24","233.39K","1.22%"
"07/06/2023","1,848.37","1,910.36","1,957.54","1,846.95","456.05K","-3.25%"
"07/05/2023","1,910.42","1,936.20","1,942.12","1,896.39","267.58K","-1.33%"
"07/04/2023","1,936.20","1,955.30","1,966.00","1,931.58","205.60K","-0.99%"
"07/03/2023","1,955.55","1,937.87","1,974.50","1,934.40","322.11K","0.93%"
"07/02/2023","1,937.47","1,924.84","1,958.21","1,894.13","255.79K","0.67%"
"07/01/2023","1,924.51","1,934.92","1,943.20","1,909.91","178.66K","-0.48%"
"06/30/2023","1,933.79","1,851.79","1,943.58","1,837.52","716.55K","4.42%"
"06/29/2023","1,851.90","1,828.03","1,878.86","1,828.03","241.86K","1.31%"
"06/28/2023","1,827.95","1,890.09","1,890.09","1,822.13","337.80K","-3.26%"
"06/27/2023","1,889.49","1,858.97","1,911.70","1,856.17","366.62K","1.64%"
"06/26/2023","1,858.98","1,898.69","1,905.97","1,840.65","458.90K","-2.10%"
"06/25/2023","1,898.79","1,875.30","1,929.61","1,869.26","338.73K","1.27%"
"06/24/2023","1,874.96","1,892.07","1,903.97","1,865.77","227.03K","-0.90%"
"06/23/2023","1,891.92","1,872.26","1,932.19","1,864.60","401.12K","1.05%"
"06/22/2023","1,872.27","1,889.35","1,931.60","1,866.62","416.81K","-0.93%"
"06/21/2023","1,889.87","1,792.73","1,899.01","1,787.57","613.63K","5.49%"
"06/20/2023","1,791.58","1,737.15","1,793.28","1,715.18","328.97K","3.14%"
"06/19/2023","1,737.04","1,720.17","1,748.04","1,706.39","245.01K","0.93%"
"06/18/2023","1,720.96","1,727.96","1,746.33","1,715.92","156.53K","-0.39%"
"06/17/2023","1,727.75","1,718.02","1,764.21","1,714.27","210.91K","0.57%"
"06/16/2023","1,717.92","1,666.20","1,728.34","1,653.66","311.86K","3.06%"
"06/15/2023","1,666.95","1,650.29","1,678.88","1,632.41","370.92K","0.97%"
"06/14/2023","1,650.94","1,740.09","1,749.87","1,636.53","415.94K","-5.10%"
"06/13/2023","1,739.59","1,742.80","1,763.02","1,727.64","284.20K","-0.17%"
"06/12/2023","1,742.57","1,752.96","1,757.77","1,722.93","302.34K","-0.58%"
"06/11/2023","1,752.76","1,750.03","1,775.79","1,739.99","219.96K","0.07%"
"06/10/2023","1,751.53","1,840.43","1,844.14","1,719.13","652.33K","-4.83%"
"06/09/2023","1,840.37","1,845.75","1,854.71","1,828.61","198.32K","-0.29%"
"06/08/2023","1,845.64","1,831.50","1,860.49","1,829.38","189.43K","0.74%"
"06/07/2023","1,832.06","1,884.36","1,893.73","1,823.48","429.40K","-2.79%"
"06/06/2023","1,884.65","1,810.03","1,895.76","1,800.73","491.40K","4.05%"
"06/05/2023","1,811.24","1,888.20","1,890.52","1,782.76","555.28K","-4.17%"
"06/04/2023","1,890.01","1,891.51","1,914.16","1,884.54","172.68K","-0.11%"
"06/03/2023","1,892.05","1,906.86","1,907.91","1,884.19","148.82K","-0.79%"
"06/02/2023","1,907.11","1,861.63","1,909.99","1,847.80","313.06K","2.43%"
"06/01/2023","1,861.78","1,873.95","1,888.06","1,846.33","270.50K","-0.63%"
"05/31/2023","1,873.62","1,899.81","1,906.20","1,852.01","319.26K","-1.42%"
"05/30/2023","1,900.58","1,892.73","1,915.88","1,882.97","272.60K","0.42%"
"05/29/2023","1,892.59","1,909.74","1,925.68","1,878.33","314.58K","-0.82%"
"05/28/2023","1,908.32","1,829.89","1,914.89","1,824.69","378.14K","4.29%"
"05/27/2023","1,829.89","1,828.19","1,835.93","1,817.35","138.86K","0.11%"
"05/26/2023","1,827.79","1,805.60","1,837.37","1,798.10","275.69K","1.23%"
"05/25/2023","1,805.66","1,800.03","1,817.07","1,764.90","350.65K","0.32%"
"05/24/2023","1,799.88","1,853.58","1,853.58","1,781.71","420.82K","-2.92%"
"05/23/2023","1,854.05","1,817.39","1,868.88","1,815.40","396.85K","2.03%"
"05/22/2023","1,817.17","1,804.36","1,827.36","1,792.33","237.51K","0.68%"
"05/21/2023","1,804.90","1,820.28","1,827.45","1,799.00","161.59K","-0.81%"
"05/20/2023","1,819.66","1,812.31","1,828.04","1,807.06","127.68K","0.41%"
"05/19/2023","1,812.31","1,800.09","1,829.33","1,796.95","243.26K","0.63%"
"05/18/2023","1,800.95","1,822.93","1,831.50","1,774.82","293.73K","-1.16%"
"05/17/2023","1,822.11","1,824.36","1,834.41","1,785.76","352.10K","-0.10%"
"05/16/2023","1,823.95","1,816.13","1,829.96","1,797.59","311.43K","0.38%"
"05/15/2023","1,817.13","1,799.33","1,845.21","1,786.60","387.98K","0.99%"
"05/14/2023","1,799.33","1,794.87","1,822.91","1,791.84","218.10K","0.24%"
"05/13/2023","1,795.11","1,807.47","1,814.58","1,786.16","212.90K","-0.67%"
"05/12/2023","1,807.28","1,794.82","1,812.30","1,741.50","565.53K","0.70%"
"05/11/2023","1,794.67","1,840.96","1,841.00","1,774.29","522.10K","-2.51%"
"05/10/2023","1,840.88","1,846.63","1,886.83","1,797.00","639.92K","-0.31%"
"05/09/2023","1,846.53","1,847.16","1,858.51","1,832.05","304.42K","-0.05%"
"05/08/2023","1,847.45","1,867.22","1,883.44","1,813.75","625.74K","-1.26%"
"05/07/2023","1,870.95","1,897.36","1,931.39","1,870.94","413.17K","-1.34%"
"05/06/2023","1,896.33","1,994.20","2,012.99","1,868.05","608.16K","-4.86%"
"05/05/2023","1,993.30","1,877.26","1,996.60","1,875.66","546.55K","6.19%"
"05/04/2023","1,877.07","1,904.89","1,915.16","1,868.18","354.85K","-1.45%"
"05/03/2023","1,904.75","1,870.09","1,914.99","1,844.71","464.91K","1.87%"
"05/02/2023","1,869.74","1,830.52","1,878.61","1,823.21","373.73K","2.13%"
"05/01/2023","1,830.73","1,870.92","1,885.67","1,807.30","446.15K","-2.05%"
"04/30/2023","1,868.97","1,907.66","1,937.82","1,868.97","353.17K","-2.03%"
"04/29/2023","1,907.79","1,891.40","1,915.89","1,886.25","182.06K","0.89%"
"04/28/2023","1,890.93","1,909.01","1,922.85","1,874.99","387.63K","-0.94%"
"04/27/2023","1,908.79","1,864.69","1,937.55","1,862.43","727.45K","2.29%"
"04/26/2023","1,866.01","1,866.49","1,963.51","1,793.82","897.72K","0.00%"
"04/25/2023","1,865.92","1,842.03","1,877.53","1,804.18","457.86K","1.31%"
"04/24/2023","1,841.83","1,862.01","1,889.14","1,810.00","447.85K","-1.08%"
"04/23/2023","1,862.00","1,873.78","1,881.93","1,839.04","344.54K","-0.64%"
"04/22/2023","1,873.93","1,848.87","1,886.19","1,845.66","330.97K","1.36%"
"04/21/2023","1,848.78","1,942.62","1,955.29","1,831.95","688.90K","-4.83%"
"04/20/2023","1,942.69","1,933.94","1,977.94","1,917.73","625.74K","0.35%"
"04/19/2023","1,935.91","2,103.00","2,104.31","1,924.85","775.14K","-7.96%"
"04/18/2023","2,103.33","2,074.50","2,121.28","2,056.87","414.19K","1.38%"
"04/17/2023","2,074.75","2,118.64","2,119.20","2,062.15","426.51K","-2.10%"
"04/16/2023","2,119.36","2,089.85","2,137.66","2,073.27","319.83K","1.38%"
"04/15/2023","2,090.61","2,100.00","2,110.33","2,074.35","321.85K","-0.45%"
"04/14/2023","2,099.99","2,011.73","2,127.63","2,009.54","896.29K","4.37%"
"04/13/2023","2,012.14","1,917.67","2,018.74","1,899.96","676.18K","4.99%"
"04/12/2023","1,916.55","1,889.84","1,930.43","1,857.34","630.86K","1.41%"
"04/11/2023","1,889.87","1,910.21","1,935.76","1,884.68","405.34K","-1.07%"
"04/10/2023","1,910.36","1,858.73","1,916.53","1,847.39","434.66K","2.77%"
"04/09/2023","1,858.92","1,848.73","1,871.91","1,825.59","287.13K","0.54%"
"04/08/2023","1,848.96","1,863.49","1,879.12","1,847.74","197.96K","-0.78%"
"04/07/2023","1,863.45","1,872.12","1,882.60","1,844.42","284.29K","-0.48%"
"04/06/2023","1,872.35","1,908.84","1,908.84","1,855.92","396.09K","-1.92%"
"04/05/2023","1,908.98","1,870.66","1,936.03","1,864.63","548.58K","2.06%"
"04/04/2023","1,870.53","1,810.82","1,887.41","1,802.51","622.30K","3.30%"
"04/03/2023","1,810.79","1,794.32","1,838.69","1,764.26","628.70K","0.88%"
"04/02/2023","1,795.05","1,820.58","1,824.32","1,775.86","321.88K","-1.41%"
"04/01/2023","1,820.79","1,822.37","1,840.21","1,811.66","272.92K","-0.05%"
"03/31/2023","1,821.61","1,794.06","1,845.57","1,782.24","554.56K","1.56%"
"03/30/2023","1,793.60","1,793.07","1,828.92","1,767.01","579.68K","0.02%"
"03/29/2023","1,793.17","1,774.12","1,825.01","1,772.81","536.88K","1.16%"
